,Record ID,Related Record Type,Business Unique ID,Business Name,DBA/Trade Name,Business Category,Certificate of Inspection,Inspection Number,NOH Number,Violation Date,Charge,Charge Count,Cure Eligible,Cured,Outcome,Guilty,Not Guilty,Dismissed
227,35877-2025-ADJC,dcwp_InspectionRequest,BA-1708423-2024,"Har Northern, Inc.",HANAHREUM SUPERMARKET,Supermarket,A0205664,INS-000816750,24Q03278,12/31/2024,NY Agri & Mkts § 190(5) - CUSTOMER SCALE IS NOT AN ACCURATE COMPUTING SCALE OF SUFFICIENT CAPACITY,1.0,No,No,Pleaded,1.0,,
235,35652-2024-ADJC,dcwp_InspectionRequest,BA-1481037-2022,Zabar's & Co. Inc.,,Supermarket,A0205271,INS-000815876,24M04778,12/26/2024,"1 NYCRR § 221.5(c) - LABELS DO NOT CLEARLY STATE THE NET QUANTITY OF ITEMS IN CONTAINERS or PACAKGE IN TERMS OF WEIGHT, MEASURE OR COUNT",1.0,,,Pleaded,1.0,,
238,35653-2024-ADJC,dcwp_InspectionRequest,BA-1717202-2024,Fresh Harvest Market,,Supermarket,A0205234,INS-000815369,24M04775,12/26/2024,"NY Agri & Mkts § 190(5) - NO """"FOR CUSTOMER USE"""" SIGN POSTED OR NOR NEAR CUSTOMER SCALE/S IN/NEAR PREPACKAGED FOOD AREA.",1.0,,,Pleaded,1.0,,
240,35710-2024-ADJC,dcwp_InspectionRequest,BA-1706902-2024,1188 Flatbush Meat & Produce Inc.,C-TOWN,Supermarket,A0205218,INS-000815782,24N04310,12/26/2024,"NY Agri & Mkts § 190(5) - NO """"FOR CUSTOMER USE"""" SIGN POSTED OR NOR NEAR CUSTOMER SCALE/S IN/NEAR PREPACKAGED FOOD AREA.",1.0,,,Pleaded,1.0,,
243,35721-2024-ADJC,dcwp_InspectionRequest,BA-1257555-2022,"NEW EASTERN II FRUIT & VEGETABLES, INC.",,Supermarket,A0205380,INS-000816082,24N04319,12/26/2024,NY Agri & Mkts § 190(5) - STORE DOES NOT HAVE A SCALE FOR CUSTOMERS,1.0,No,,Pleaded,1.0,,
248,35678-2024-ADJC,dcwp_InspectionRequest,BA-1120651-2022,ALMONTE HEIGHTS FOOD CORP.,,Supermarket,A0205050,INS-000815500,24N04297,12/24/2024,NY Agri & Mkts § 190(5) - STORE DOES NOT HAVE A SCALE FOR CUSTOMERS,1.0,,,Pleaded,1.0,,
249,35688-2024-ADJC,dcwp_InspectionRequest,BA-1257171-2022,CORO FOOD CORP.,TRADE FAIR,Supermarket,A0205134,INS-000814325,24Q03250,12/24/2024,"NY Agri & Mkts § 190(5) - NO """"FOR CUSTOMER USE"""" SIGN POSTED OR NOR NEAR CUSTOMER SCALE/S IN/NEAR PREPACKAGED FOOD AREA.",1.0,,,Pleaded,1.0,,
253,35696-2024-ADJC,dcwp_InspectionRequest,BA-1623761-2023,2014  CROPSEY  LLC,KEY  FOOD  FRESH  SUPERMARKET,Supermarket,A0205142,INS-000815634,24N04303,12/24/2024,NY Agri & Mkts § 190(5) - STORE DOES NOT HAVE A SCALE FOR CUSTOMERS,1.0,,,Pleaded,1.0,,
268,35480-2024-ADJC,dcwp_InspectionRequest,BA-1717220-2024,EZ FRESH SUPERMARKET INC,,Supermarket,A0204748,INS-000814933,24N04277,12/20/2024,"1 NYCRR § 221.5(c) - LABELS DO NOT CLEARLY STATE THE NET QUANTITY OF ITEMS IN CONTAINERS or PACAKGE IN TERMS OF WEIGHT, MEASURE OR COUNT",2.0,No,,Pleaded,2.0,,
273,35522-2024-ADJC,dcwp_InspectionRequest,BA-1218354-2022,F & V FOOD CORP.,,Supermarket,A0204723,INS-000814412,24M04732,12/20/2024,"1 NYCRR § 221.5(c) - LABELS DO NOT CLEARLY STATE THE NET QUANTITY OF ITEMS IN CONTAINERS or PACAKGE IN TERMS OF WEIGHT, MEASURE OR COUNT",2.0,,,Pleaded,2.0,,
274,35676-2024-ADJC,dcwp_InspectionRequest,BA-1332126-2022,"KOSHER CORNER SUPERMARKET, INC.",,Supermarket,A0204856,INS-000815124,24N04284,12/20/2024,"1 NYCRR § 221.5(c) - LABELS DO NOT CLEARLY STATE THE NET QUANTITY OF ITEMS IN CONTAINERS or PACAKGE IN TERMS OF WEIGHT, MEASURE OR COUNT",2.0,,,Pleaded,2.0,,
280,35447-2024-ADJC,dcwp_InspectionRequest,BA-1547211-2022,RENHE MARKET INC.,,Supermarket,A0204400,INS-000814310,24N04256,12/19/2024,"1 NYCRR § 221.5(c) - LABELS DO NOT CLEARLY STATE THE NET QUANTITY OF ITEMS IN CONTAINERS or PACAKGE IN TERMS OF WEIGHT, MEASURE OR COUNT",2.0,,,Pleaded,2.0,,
284,15649-2023-ADJC,dcwp_InspectionRequest,BA-1680233-2023,M & D 21 FOOD CORP.,,Supermarket,A0147325,INS-000694867,23Q03305,12/18/2023,1 NYCRR § 221.13(b)(18) - DELI ITEMS DO NOT HAVE PRICES DISPLAYED,1.0,,,Default Decision,1.0,,
291,35411-2024-ADJC,dcwp_InspectionRequest,BA-1552645-2022,"TEGS MANAGEMENT, LLC",GOURMANOFF,Supermarket,A0203728,INS-000812947,24N04217,12/13/2024,"1 NYCRR § 221.5(c) - LABELS DO NOT CLEARLY STATE THE NET QUANTITY OF ITEMS IN CONTAINERS or PACAKGE IN TERMS OF WEIGHT, MEASURE OR COUNT",2.0,,,Pleaded,2.0,,
296,35026-2024-ADJC,dcwp_InspectionRequest,BA-1560223-2022,"VILLA JUANA PRODUCE, INC.",City Fresh Market,Supermarket,A0203438,INS-000812469,24X02008,12/12/2024,NY Agri & Mkts § 190(5) - CUSTOMER SCALE IS NO EASILY ACCESSIBLE TO CUSTOMERS,1.0,,,Pleaded,1.0,,
297,35101-2024-ADJC,dcwp_InspectionRequest,BA-1119367-2022,AGUILAR MEAT & PRODUCE INC,KEY FOOD MARKET PLACE,Supermarket,A0203504,INS-000812570,24Q03167,12/12/2024,NY Agri & Mkts § 190(5) - CUSTOMER SCALE IS NOT AN ACCURATE COMPUTING SCALE OF SUFFICIENT CAPACITY,1.0,,,Pleaded,1.0,,
299,35263-2024-ADJC,dcwp_InspectionRequest,BA-1308009-2022,JOAN FOOD CORP,CTOWN,Supermarket,A0203435,INS-000812466,24N04197,12/12/2024,"NY Agri & Mkts § 190(5) - NO """"FOR CUSTOMER USE"""" SIGN POSTED OR NOR NEAR CUSTOMER SCALE/S IN/NEAR PREPACKAGED FOOD AREA.",1.0,No,,Pleaded,1.0,,
301,35270-2024-ADJC,dcwp_InspectionRequest,BA-1662097-2023,20TH AVE SUPERMARKET INC,,Supermarket,A0203480,INS-000812534,24N04199,12/12/2024,"1 NYCRR § 221.5(c) - LABELS DO NOT CLEARLY STATE THE NET QUANTITY OF ITEMS IN CONTAINERS or PACAKGE IN TERMS OF WEIGHT, MEASURE OR COUNT",2.0,No,No,Pleaded,2.0,,
302,35348-2024-ADJC,dcwp_InspectionRequest,BA-1716662-2024,"R & C 52 ARLINGTON MARKETPLACE, INC.",,Supermarket,A0203643,INS-000812786,24N04208,12/12/2024,"NY Agri & Mkts § 190(5) - NO """"FOR CUSTOMER USE"""" SIGN POSTED OR NOR NEAR CUSTOMER SCALE/S IN/NEAR PREPACKAGED FOOD AREA.",1.0,No,,Pleaded,1.0,,
303,36028-2025-ADJC,dcwp_InspectionRequest,BA-1329666-2022,KF ENNIS 86 LLC,FOOD UNIVERSE MARKETPLACE,Supermarket,A0203418,INS-000818416,25N00043,12/12/2024,NY Agri & Mkts § 190(5) - STORE DOES NOT HAVE A SCALE FOR CUSTOMERS,1.0,No,,Pleaded,1.0,,
304,35015-2024-ADJC,dcwp_InspectionRequest,BA-1626639-2023,SKY FOODS MARKETS INC,,Supermarket,A0203186,INS-000811999,24Q03146,12/11/2024,"1 NYCRR § 221.5(c) - LABELS DO NOT CLEARLY STATE THE NET QUANTITY OF ITEMS IN CONTAINERS or PACAKGE IN TERMS OF WEIGHT, MEASURE OR COUNT",2.0,,,Pleaded,2.0,,
306,35016-2024-ADJC,dcwp_InspectionRequest,BA-1452121-2022,MAZAL GLATT SUPERMARKET INC,,Supermarket,A0203168,INS-000811965,24Q03144,12/11/2024,1 NYCRR § 221.13(b)(19) - FAILS TO POST SIGN STATING IDENTITY OF COMMODITY SOLD IN BULK AND PRICE PER POUND OR UNIT PRICE,1.0,,,Pleaded,1.0,,
307,35196-2024-ADJC,dcwp_InspectionRequest,BA-1423450-2022,MUSCAT MARKET LLC,,Supermarket,A0203151,INS-000811940,24N04185,12/11/2024,NY Agri & Mkts § 190(5) - STORE DOES NOT HAVE A SCALE FOR CUSTOMERS,1.0,No,,Pleaded,1.0,,
309,35206-2024-ADJC,dcwp_InspectionRequest,BA-1274846-2022,"KOSHER PALACE SUPERMARKET, INC.",KOSHER PALACE,Supermarket,A0203214,INS-000812044,24N04190,12/11/2024,1 NYCRR § 221.13(b)(18) - DELI ITEMS DO NOT HAVE PRICES DISPLAYED,1.0,No,No,Pleaded,1.0,,
310,35210-2024-ADJC,dcwp_InspectionRequest,BA-1716567-2024,VANDERBILT FOOD CORP,,Supermarket,A0203330,INS-000812239,24N04195,12/11/2024,"1 NYCRR § 221.5(c) - LABELS DO NOT CLEARLY STATE THE NET QUANTITY OF ITEMS IN CONTAINERS or PACAKGE IN TERMS OF WEIGHT, MEASURE OR COUNT",1.0,No,No,Pleaded,1.0,,
312,35009-2024-ADJC,dcwp_InspectionRequest,BA-1541901-2022,SANTIAGO MEAT & PRODUCE INC,CHERRY VALLEY MARKET PLACE,Supermarket,A0203095,INS-000811830,24Q03140,12/10/2024,1 NYCRR § 221.13(b)(18) - DELI ITEMS DO NOT HAVE PRICES DISPLAYED,1.0,,,Pleaded,1.0,,
313,35147-2024-ADJC,dcwp_InspectionRequest,BA-1400821-2022,MAKSOUD BROS FOOD CORP.,,Supermarket,A0202887,INS-000811478,24N04162,12/10/2024,NY Agri & Mkts § 190(5) - STORE DOES NOT HAVE A SCALE FOR CUSTOMERS,1.0,No,,Pleaded,1.0,,
320,35159-2024-ADJC,dcwp_InspectionRequest,BA-1124230-2022,2720 CHURCH GROCERY CORP.,,Supermarket,A0203098,INS-000811837,24N04174,12/10/2024,"NY Agri & Mkts § 190(5) - NO """"FOR CUSTOMER USE"""" SIGN POSTED OR NOR NEAR CUSTOMER SCALE/S IN/NEAR PREPACKAGED FOOD AREA.",1.0,,,Pleaded,1.0,,
322,35163-2024-ADJC,dcwp_InspectionRequest,BA-1276446-2022,LA RANA MEAT CORP.,,Supermarket,A0203091,INS-000811825,24N04173,12/10/2024,"NY Agri & Mkts § 190(5) - NO """"FOR CUSTOMER USE"""" SIGN POSTED OR NOR NEAR CUSTOMER SCALE/S IN/NEAR PREPACKAGED FOOD AREA.",1.0,,,Pleaded,1.0,,
