,Record ID,Related Record Type,Business Unique ID,Business Name,DBA/Trade Name,Business Category,Certificate of Inspection,Inspection Number,NOH Number,Violation Date,Charge,Charge Count,Cure Eligible,Cured,Outcome,Guilty,Not Guilty,Dismissed
650,26638-2024-ADJC,dcwp_InspectionRequest,BA-1418608-2022,"NAMDOR, INC.",GRISTEDES,Supermarket,A0178691,INS-000762701,24M02262,07/18/2024,NY Agri & Mkts § 190(5) - STORE DOES NOT HAVE A SCALE FOR CUSTOMERS,1.0,No,,Pleaded,1.0,,
656,27598-2024-ADJC,dcwp_InspectionRequest,BA-1297133-2022,HONG KONG SUPERMARKET OF HESTER STREET CORP.,Hong Kong Supermarket of Hester Street,Supermarket,A0178464,INS-000771104,24M02621,07/17/2024,"1 NYCRR § 221.5(c) - LABELS DO NOT CLEARLY STATE THE NET QUANTITY OF ITEMS IN CONTAINERS or PACAKGE IN TERMS OF WEIGHT, MEASURE OR COUNT",2.0,No,,Pleaded,2.0,,
657,26247-2024-ADJC,dcwp_InspectionRequest,BA-1702630-2024,YOUNG RYAN CORP.,Key Food,Supermarket,A0178276,INS-000762544,24Q01611,07/16/2024,NY Agri & Mkts § 190(5) - STORE DOES NOT HAVE A SCALE FOR CUSTOMERS,1.0,No,,Pleaded,1.0,,
659,22755-2024-ADJC,dcwp_InspectionRequest,BA-1695031-2024,A&C 2541 MEAT CORP.,,Supermarket,A0168297,INS-000742453,24M01224,05/09/2024,NY Agri & Mkts § 190(5) - STORE DOES NOT HAVE A SCALE FOR CUSTOMERS,1.0,No,,Default Decision,1.0,,
660,26755-2024-ADJC,dcwp_InspectionRequest,BA-1109059-2022,BEYOND NATURAL MARKET INC,,Supermarket,A0178361,INS-000762711,24N01942,07/16/2024,"1 NYCRR § 221.5(c) - LABELS DO NOT CLEARLY STATE THE NET QUANTITY OF ITEMS IN CONTAINERS or PACAKGE IN TERMS OF WEIGHT, MEASURE OR COUNT",1.0,No,,Pleaded,1.0,,
663,26760-2024-ADJC,dcwp_InspectionRequest,BA-1702636-2024,BAMA FOOD CORP.,Bravo Supermarket,Supermarket,A0178292,INS-000762577,24N01934,07/16/2024,1 NYCRR § 221.13(b)(18) - DELI ITEMS DO NOT HAVE PRICES DISPLAYED,1.0,,,Pleaded,1.0,,
673,25998-2024-ADJC,dcwp_InspectionRequest,BA-1693404-2024,Garrido Food Corp.,Ideal Supermarket,Supermarket,A0177279,INS-000757263,24N01853,07/10/2024,NY Agri & Mkts § 190(5) - STORE DOES NOT HAVE A SCALE FOR CUSTOMERS,1.0,,,Pleaded,1.0,,
674,26163-2024-ADJC,dcwp_InspectionRequest,BA-1451784-2022,R.J. CASTLE HILL FOOD CORP,,Supermarket,A0177017,INS-000754715,24X00849,07/09/2024,"1 NYCRR § 221.5(c) - LABELS DO NOT CLEARLY STATE THE NET QUANTITY OF ITEMS IN CONTAINERS or PACAKGE IN TERMS OF WEIGHT, MEASURE OR COUNT",1.0,No,,Pleaded,1.0,,
681,26070-2024-ADJC,dcwp_InspectionRequest,BA-1701557-2024,2080 MARKET CORP,,Supermarket,A0176787,INS-000759492,24X00836,07/05/2024,NY Agri & Mkts § 190(5) - STORE DOES NOT HAVE A SCALE FOR CUSTOMERS,1.0,No,,Pleaded,1.0,,
683,26162-2024-ADJC,dcwp_InspectionRequest,BA-1306519-2022,LYDIG FOOD CORP.,KEYFOOD SUPERMARKET,Supermarket,A0176694,INS-000759346,24X00835,07/05/2024,NY Agri & Mkts § 190(5) - STORE DOES NOT HAVE A SCALE FOR CUSTOMERS,1.0,No,,Pleaded,1.0,,
685,23599-2024-ADJC,dcwp_InspectionRequest,BA-1556540-2022,"SEVEN SEAS 49TH ST, LLC",,Supermarket,A0170491,INS-000744287,24M01481,05/22/2024,1 NYCRR § 221.13(b)(19) - FAILS TO POST SIGN STATING IDENTITY OF COMMODITY SOLD IN BULK AND PRICE PER POUND OR UNIT PRICE,1.0,,,Default Decision,1.0,,
704,23996-2024-ADJC,dcwp_InspectionRequest,BA-1696363-2024,CHICKEN MEAT CORP,,Supermarket,A0171806,INS-000746019,24N01475,05/31/2024,NY Agri & Mkts § 190(5) - CUSTOMER SCALE IS NOT AN ACCURATE COMPUTING SCALE OF SUFFICIENT CAPACITY,1.0,No,,Default Decision,1.0,,
708,24064-2024-ADJC,dcwp_InspectionRequest,BA-1460189-2022,"MANNIX FAMILY MARKET @ FOREST AND RICHMOND AVE, LLC",,Supermarket,A0169040,INS-000740668,24M01309,05/14/2024,"NY Agri & Mkts § 190(5) - NO """"FOR CUSTOMER USE"""" SIGN POSTED OR NOR NEAR CUSTOMER SCALE/S IN/NEAR PREPACKAGED FOOD AREA.",1.0,No,,Default Decision,1.0,,
709,24185-2024-ADJC,dcwp_InspectionRequest,BA-1534217-2022,SEVEN SEAS 42ND ST LLC,,Supermarket,A0172098,INS-000750229,24M01609,06/04/2024,1 NYCRR § 221.13(b)(19) - FAILS TO POST SIGN STATING IDENTITY OF COMMODITY SOLD IN BULK AND PRICE PER POUND OR UNIT PRICE,1.0,,,Default Decision,1.0,,
711,25651-2024-ADJC,dcwp_InspectionRequest,BA-1195485-2022,"CHANG LI SUPERMARKET, INC.",,Supermarket,A0176016,INS-000758087,24X00816,06/26/2024,"1 NYCRR § 221.5(c) - LABELS DO NOT CLEARLY STATE THE NET QUANTITY OF ITEMS IN CONTAINERS or PACAKGE IN TERMS OF WEIGHT, MEASURE OR COUNT",1.0,No,,Pleaded,1.0,,
712,26626-2024-ADJC,dcwp_InspectionRequest,BA-1245344-2022,BURGUNDY & WHITE MARKETS INC,MORTON WILLIAMS SUPERMARKET,Supermarket,A0176025,INS-000764865,24M02323,06/26/2024,NY Agri & Mkts § 190(5) - STORE DOES NOT HAVE A SCALE FOR CUSTOMERS,1.0,,,Pleaded,1.0,,
713,26658-2024-ADJC,dcwp_InspectionRequest,BA-1236313-2022,"FRANK'S GOURMET MARKET, INC.",,Supermarket,A0176010,INS-000764775,24M02320,06/26/2024,"NY Agri & Mkts § 190(5) - NO """"FOR CUSTOMER USE"""" SIGN POSTED OR NOR NEAR CUSTOMER SCALE/S IN/NEAR PREPACKAGED FOOD AREA.",1.0,,,Pleaded,1.0,,
717,25176-2024-ADJC,dcwp_InspectionRequest,BA-1546723-2022,WHOLE FOODS MARKET GROUP INC,WHOLE FOODS MARKET,Supermarket,A0174705,INS-000755325,24M01865,06/21/2024,"NY Agri & Mkts § 190(5) - NO """"FOR CUSTOMER USE"""" SIGN POSTED OR NOR NEAR CUSTOMER SCALE/S IN/NEAR PREPACKAGED FOOD AREA.",1.0,No,No,Pleaded,1.0,,
723,25184-2024-ADJC,dcwp_InspectionRequest,BA-1207846-2022,FINE FARE SUPERMARKET,,Supermarket,A0174736,INS-000755025,24M01869,06/21/2024,"NY Agri & Mkts § 190(5) - NO """"FOR CUSTOMER USE"""" SIGN POSTED OR NOR NEAR CUSTOMER SCALE/S IN/NEAR PREPACKAGED FOOD AREA.",1.0,No,,Pleaded,1.0,,
726,25111-2024-ADJC,dcwp_InspectionRequest,BA-1444072-2022,MAX BLINK Z L CORP,,Supermarket,A0174492,INS-000754944,24N01634,06/20/2024,1 NYCRR § 221.13(b)(19) - FAILS TO POST SIGN STATING IDENTITY OF COMMODITY SOLD IN BULK AND PRICE PER POUND OR UNIT PRICE,1.0,,,Pleaded,1.0,,
728,25317-2024-ADJC,dcwp_InspectionRequest,BA-1552979-2022,THE STOP & SHOP SUPERMARKET COMPANY LLC,Stop & Shop Store # 2513,Supermarket,A0174560,INS-000755062,24X00737,06/20/2024,"NY Agri & Mkts § 190(5) - NO """"FOR CUSTOMER USE"""" SIGN POSTED OR NOR NEAR CUSTOMER SCALE/S IN/NEAR PREPACKAGED FOOD AREA.",1.0,,,Pleaded,1.0,,
736,25090-2024-ADJC,dcwp_InspectionRequest,BA-1554749-2022,SABANA MEAT CORP.,,Supermarket,A0174543,INS-000755028,24M01848,06/20/2024,NY Agri & Mkts § 190(5) - STORE DOES NOT HAVE A SCALE FOR CUSTOMERS,1.0,No,,Default Decision,1.0,,
740,25119-2024-ADJC,dcwp_InspectionRequest,BA-1346479-2022,"ITTADI SUPERMARKET, LLC",,Supermarket,A0174536,INS-000755018,24Q01344,06/20/2024,"1 NYCRR § 221.5(c) - LABELS DO NOT CLEARLY STATE THE NET QUANTITY OF ITEMS IN CONTAINERS or PACAKGE IN TERMS OF WEIGHT, MEASURE OR COUNT",2.0,,,Default Decision,2.0,,
741,25132-2024-ADJC,dcwp_InspectionRequest,BA-1699989-2024,BAAM SUPERMARKET 13 AVENUE LLC,,Supermarket,A0174593,INS-000755131,24N01641,06/20/2024,1 NYCRR § 221.13(b)(18) - DELI ITEMS DO NOT HAVE PRICES DISPLAYED,1.0,No,,,,,
743,24814-2024-ADJC,dcwp_InspectionRequest,BA-1101035-2022,409 FOOD CORP.,Foodtown,Supermarket,A0173384,INS-000739708,24N01551,06/12/2024,"NY Agri & Mkts § 190(5) - NO """"FOR CUSTOMER USE"""" SIGN POSTED OR NOR NEAR CUSTOMER SCALE/S IN/NEAR PREPACKAGED FOOD AREA.",1.0,,,Pleaded,1.0,,
744,24821-2024-ADJC,dcwp_InspectionRequest,BA-1102665-2022,8772 Meat Corp.,KEYFOOD,Supermarket,A0173571,INS-000753076,24N01557,06/12/2024,NY Agri & Mkts § 190(5) - STORE DOES NOT HAVE A SCALE FOR CUSTOMERS,1.0,No,,Pleaded,1.0,,
752,24364-2024-ADJC,dcwp_InspectionRequest,BA-1199842-2022,DAF FOOD CORP,BRAVO SUPERMARKET,Supermarket,A0172302,INS-000747447,24N01495,06/05/2024,"NY Agri & Mkts § 190(5) - NO """"FOR CUSTOMER USE"""" SIGN POSTED OR NOR NEAR CUSTOMER SCALE/S IN/NEAR PREPACKAGED FOOD AREA.",1.0,No,,Pleaded,1.0,,
755,25474-2024-ADJC,dcwp_InspectionRequest,BA-1700793-2024,A&E SUPERMARKET INC,,Supermarket,A0175536,INS-000757075,24Q01411,06/26/2024,"1 NYCRR § 221.5(c) - LABELS DO NOT CLEARLY STATE THE NET QUANTITY OF ITEMS IN CONTAINERS or PACAKGE IN TERMS OF WEIGHT, MEASURE OR COUNT",1.0,No,No,Default Decision,1.0,,
760,24271-2024-ADJC,dcwp_InspectionRequest,BA-1682391-2024,G MART NY INC.,,Supermarket,A0172088,INS-000750214,24Q01189,06/04/2024,"1 NYCRR § 221.5(c) - LABELS DO NOT CLEARLY STATE THE NET QUANTITY OF ITEMS IN CONTAINERS or PACAKGE IN TERMS OF WEIGHT, MEASURE OR COUNT",2.0,No,,Pleaded,2.0,,
777,23523-2024-ADJC,dcwp_InspectionRequest,BA-1123065-2022,"180 MARKETPLACE, INC.",JUBILEE MARKET,Supermarket,A0170087,INS-000746114,24M01457,05/21/2024,"1 NYCRR § 221.5(c) - LABELS DO NOT CLEARLY STATE THE NET QUANTITY OF ITEMS IN CONTAINERS or PACAKGE IN TERMS OF WEIGHT, MEASURE OR COUNT",2.0,No,,Pleaded,2.0,,
779,23835-2024-ADJC,dcwp_InspectionRequest,BA-1464881-2022,MADDAJ-AJ INC.,,Supermarket,A0171157,INS-000748101,24X00609,05/21/2024,"NY Agri & Mkts § 190(5) - NO """"FOR CUSTOMER USE"""" SIGN POSTED OR NOR NEAR CUSTOMER SCALE/S IN/NEAR PREPACKAGED FOOD AREA.",1.0,No,,Pleaded,1.0,,
783,26201-2024-ADJC,dcwp_InspectionRequest,BA-1240172-2022,"KISSENA GLATT FARMS, INC.",,Supermarket,A0177779,INS-000761341,24Q01555,07/11/2024,"1 NYCRR § 221.5(c) - LABELS DO NOT CLEARLY STATE THE NET QUANTITY OF ITEMS IN CONTAINERS or PACAKGE IN TERMS OF WEIGHT, MEASURE OR COUNT",2.0,No,No,Default Decision,2.0,,
792,26514-2024-ADJC,dcwp_InspectionRequest,BA-1105025-2022,1331 MEAT & PRODUCE CORP.,SHOP FAIR,Supermarket,A0175915,INS-000757854,24M02006,06/26/2024,"NY Agri & Mkts § 190(5) - NO """"FOR CUSTOMER USE"""" SIGN POSTED OR NOR NEAR CUSTOMER SCALE/S IN/NEAR PREPACKAGED FOOD AREA.",1.0,No,,Default Decision,1.0,,
800,22866-2024-ADJC,dcwp_InspectionRequest,BA-1285890-2022,GV MEAT & PRODUCE CORP,CARIBBEAN SUPERMARKET,Supermarket,A0168706,INS-000743129,24N01126,05/10/2024,"NY Agri & Mkts § 190(5) - NO """"FOR CUSTOMER USE"""" SIGN POSTED OR NOR NEAR CUSTOMER SCALE/S IN/NEAR PREPACKAGED FOOD AREA.",1.0,,,Pleaded,1.0,,
803,23222-2024-ADJC,dcwp_InspectionRequest,BA-1576016-2023,"WHOLE FOODS MARKET GROUP, INC",,Supermarket,A0168733,INS-000740665,24M01274,05/10/2024,"NY Agri & Mkts § 190(5) - NO """"FOR CUSTOMER USE"""" SIGN POSTED OR NOR NEAR CUSTOMER SCALE/S IN/NEAR PREPACKAGED FOOD AREA.",1.0,,No,Pleaded,1.0,,
808,27203-2024-ADJC,dcwp_InspectionRequest,BA-1703828-2024,CTown Supermarkets,,Supermarket,A0181309,INS-000766912,24M02494,08/02/2024,1 NYCRR § 221.13(b)(18) - DELI ITEMS DO NOT HAVE PRICES DISPLAYED,1.0,,,Default Decision,1.0,,
810,26902-2024-ADJC,dcwp_InspectionRequest,BA-1701140-2024,BLUE AND WHITE MARKETS INC,,Supermarket,A0176018,INS-000767278,24M02375,06/26/2024,"NY Agri & Mkts § 190(5) - NO """"FOR CUSTOMER USE"""" SIGN POSTED OR NOR NEAR CUSTOMER SCALE/S IN/NEAR PREPACKAGED FOOD AREA.",1.0,,,Default Decision,1.0,,
814,26959-2024-ADJC,dcwp_InspectionRequest,BA-1535591-2022,"VSM GOURMET, LLC",,Supermarket,A0180574,INS-000767895,24M02394,06/26/2024,1 NYCRR § 221.13(b)(18) - DELI ITEMS DO NOT HAVE PRICES DISPLAYED,1.0,No,,Default Decision,1.0,,
817,22496-2024-ADJC,dcwp_InspectionRequest,BA-1370887-2022,"TANIA & LEENA, LLC",C-TOWN,Supermarket,A0167388,INS-000740579,24Q00916,05/03/2024,"1 NYCRR § 221.5(c) - LABELS DO NOT CLEARLY STATE THE NET QUANTITY OF ITEMS IN CONTAINERS or PACAKGE IN TERMS OF WEIGHT, MEASURE OR COUNT",2.0,No,No,Pleaded,2.0,,
820,27392-2024-ADJC,dcwp_InspectionRequest,BA-1652740-2023,PJ 37 FOOD CORP,CTOWN SUPERMARKETS,Supermarket,A0178985,INS-000764713,24Q01693,07/19/2024,"NY Agri & Mkts § 190(5) - NO """"FOR CUSTOMER USE"""" SIGN POSTED OR NOR NEAR CUSTOMER SCALE/S IN/NEAR PREPACKAGED FOOD AREA.",1.0,,,Default Decision,1.0,,
823,22376-2024-ADJC,dcwp_InspectionRequest,BA-1112070-2022,ABC FIVE WINGS INC,COMPARE FOODS,Supermarket,A0167253,INS-000740277,24X00417,05/02/2024,NY Agri & Mkts § 190(5) - STORE DOES NOT HAVE A SCALE FOR CUSTOMERS,1.0,,,Pleaded,1.0,,
824,27632-2024-ADJC,dcwp_InspectionRequest,BA-1124263-2022,134 LIBERTY AVENUE LLC,,Supermarket,A0182189,INS-000771109,24Q01887,08/08/2024,"1 NYCRR § 221.5(c) - LABELS DO NOT CLEARLY STATE THE NET QUANTITY OF ITEMS IN CONTAINERS or PACAKGE IN TERMS OF WEIGHT, MEASURE OR COUNT",1.0,No,,Default Decision,1.0,,
828,22279-2024-ADJC,dcwp_InspectionRequest,BA-1193847-2022,F&G SUPERMARKET CORP,C TOWN,Supermarket,A0166670,INS-000739333,24N01015,05/01/2024,1 NYCRR § 221.13(b)(18) - DELI ITEMS DO NOT HAVE PRICES DISPLAYED,1.0,No,,Pleaded,1.0,,
837,21939-2024-ADJC,dcwp_InspectionRequest,BA-1454695-2022,R&M AMSTERDAM FOOD LLC,,Supermarket,A0165416,INS-000737211,24M01054,04/24/2024,"NY Agri & Mkts § 190(5) - NO """"FOR CUSTOMER USE"""" SIGN POSTED OR NOR NEAR CUSTOMER SCALE/S IN/NEAR PREPACKAGED FOOD AREA.",1.0,No,No,Pleaded,1.0,,
838,27994-2024-ADJC,dcwp_InspectionRequest,BA-1704538-2024,LM 501 6th Corp,,Supermarket,A0183210,INS-000769334,24M02772,08/15/2024,NY Agri & Mkts § 190(5) - STORE DOES NOT HAVE A SCALE FOR CUSTOMERS,1.0,No,,Default Decision,1.0,,
846,28074-2024-ADJC,dcwp_InspectionRequest,BA-1335287-2022,HAJAR INC.,,Supermarket,A0183480,INS-000764927,24N02518,08/16/2024,NY Agri & Mkts § 190(5) - CUSTOMER SCALE IS NO EASILY ACCESSIBLE TO CUSTOMERS,1.0,,,Default Decision,1.0,,
848,21981-2024-ADJC,dcwp_InspectionRequest,BA-1121340-2022,"A.M.I.S. FOOD, L.L.C",,Supermarket,A0165417,INS-000735335,24N00959,04/24/2024,NY Agri & Mkts § 190(5) - STORE DOES NOT HAVE A SCALE FOR CUSTOMERS,1.0,No,,Pleaded,1.0,,
855,21743-2024-ADJC,dcwp_InspectionRequest,BA-1469602-2022,PWP EQUITIES CORP.,MET FRESH SUPERMARKET,Supermarket,A0164660,INS-000733776,24X00357,04/19/2024,"1 NYCRR § 221.5(c) - LABELS DO NOT CLEARLY STATE THE NET QUANTITY OF ITEMS IN CONTAINERS or PACAKGE IN TERMS OF WEIGHT, MEASURE OR COUNT",1.0,,,Pleaded,1.0,,
860,21672-2024-ADJC,dcwp_InspectionRequest,BA-1202847-2022,"CHUNG FAT SUPERMARKET, INC.",,Supermarket,A0164346,INS-000735413,24Q00785,04/18/2024,"1 NYCRR § 221.5(c) - LABELS DO NOT CLEARLY STATE THE NET QUANTITY OF ITEMS IN CONTAINERS or PACAKGE IN TERMS OF WEIGHT, MEASURE OR COUNT",2.0,No,,Pleaded,2.0,,
862,28517-2024-ADJC,dcwp_InspectionRequest,BA-1706938-2024,FRANTON FOOD CORP.,Fine Fare Supermarket,Supermarket,A0184442,INS-000775902,24N02666,08/22/2024,NY Agri & Mkts § 190(5) - STORE DOES NOT HAVE A SCALE FOR CUSTOMERS,1.0,,,Default Decision,1.0,,
869,21399-2024-ADJC,dcwp_InspectionRequest,BA-1203449-2022,F.T. MEAT CORP.,,Supermarket,A0163578,INS-000733949,24X00340,04/12/2024,NY Agri & Mkts § 190(5) - STORE DOES NOT HAVE A SCALE FOR CUSTOMERS,1.0,No,,Pleaded,1.0,,
873,21294-2024-ADJC,dcwp_InspectionRequest,BA-1104438-2022,2185 ANTILLANA MEAT AND FOOD CORP,ANTILLANA SUPERFOOD MARKETPLACE,Supermarket,A0163290,INS-000733514,24X00333,04/11/2024,NY Agri & Mkts § 190(5) - STORE DOES NOT HAVE A SCALE FOR CUSTOMERS,1.0,No,,Pleaded,1.0,,
874,21336-2024-ADJC,dcwp_InspectionRequest,BA-1130873-2022,A TO Z GLATT KOSHER LLC,,Supermarket,A0163202,INS-000733362,24Q00725,04/11/2024,"1 NYCRR § 221.5(c) - LABELS DO NOT CLEARLY STATE THE NET QUANTITY OF ITEMS IN CONTAINERS or PACAKGE IN TERMS OF WEIGHT, MEASURE OR COUNT",1.0,,,Pleaded,1.0,,
876,21342-2024-ADJC,dcwp_InspectionRequest,BA-1319062-2022,LARA FOOD CORP.,,Supermarket,A0163156,INS-000733283,24Q00720,04/11/2024,NY Agri & Mkts § 190(5) - STORE DOES NOT HAVE A SCALE FOR CUSTOMERS,1.0,No,,Pleaded,1.0,,
881,20982-2024-ADJC,dcwp_InspectionRequest,BA-1102863-2022,2358 Meat Corp,,Supermarket,A0162293,INS-000731767,24X00295,04/05/2024,1 NYCRR § 221.13(b)(19) - FAILS TO POST SIGN STATING IDENTITY OF COMMODITY SOLD IN BULK AND PRICE PER POUND OR UNIT PRICE,1.0,No,,Pleaded,1.0,,
886,20804-2024-ADJC,dcwp_InspectionRequest,BA-1518185-2022,WILL GROCERY & MEAT INC,,Supermarket,A0161693,INS-000729219,24X00288,04/03/2024,NY Agri & Mkts § 190(5) - STORE DOES NOT HAVE A SCALE FOR CUSTOMERS,1.0,No,,Pleaded,1.0,,
890,20644-2024-ADJC,dcwp_InspectionRequest,BA-1200615-2022,"CHINATOWN SUPERMARKET OF MANHATTAN, INC.",,Supermarket,A0160984,INS-000729481,24M00826,03/29/2024,NY Agri & Mkts § 190(5) - STORE DOES NOT HAVE A SCALE FOR CUSTOMERS,1.0,No,,Pleaded,1.0,,
893,20646-2024-ADJC,dcwp_InspectionRequest,BA-1552905-2022,WHOLE FOODS MARKET GROUP INC,WHOLE FOODS MARKET,Supermarket,A0161078,INS-000729607,24M00831,03/29/2024,"NY Agri & Mkts § 190(5) - NO """"FOR CUSTOMER USE"""" SIGN POSTED OR NOR NEAR CUSTOMER SCALE/S IN/NEAR PREPACKAGED FOOD AREA.",1.0,No,,Pleaded,1.0,,
896,20564-2024-ADJC,dcwp_InspectionRequest,BA-1647255-2023,"BROWN & WHITE MARKETS, INC.",,Supermarket,A0160871,INS-000729270,24M00808,03/28/2024,NY Agri & Mkts § 190(5) - STORE DOES NOT HAVE A SCALE FOR CUSTOMERS,1.0,No,,Pleaded,1.0,,
899,29324-2024-ADJC,dcwp_InspectionRequest,BA-1686380-2024,WHOLE FOODS MARKET GROUP INC,,Supermarket,A0185476,INS-000778014,24M02973,08/28/2024,1 NYCRR § 221.13(b)(19) - FAILS TO POST SIGN STATING IDENTITY OF COMMODITY SOLD IN BULK AND PRICE PER POUND OR UNIT PRICE,1.0,No,,Default Decision,1.0,,
907,19862-2024-ADJC,dcwp_InspectionRequest,BA-1123744-2022,"BAYSIDE MILK FARM, INC.",,Supermarket,A0159328,INS-000723912,24Q00536,03/20/2024,"1 NYCRR § 221.5(c) - LABELS DO NOT CLEARLY STATE THE NET QUANTITY OF ITEMS IN CONTAINERS or PACAKGE IN TERMS OF WEIGHT, MEASURE OR COUNT",1.0,No,,Pleaded,1.0,,
914,19756-2024-ADJC,dcwp_InspectionRequest,BA-1300489-2022,"LUS LICENSING, LLC",Lidl-8015,Supermarket,A0159016,INS-000724240,24Q00524,03/18/2024,NY Agri & Mkts § 190(5) - STORE DOES NOT HAVE A SCALE FOR CUSTOMERS,1.0,No,,Pleaded,1.0,,
916,29930-2024-ADJC,dcwp_InspectionRequest,BA-1693732-2024,CHERRY HILL MARKET CORP.,,Supermarket,A0188312,INS-000768253,24N03022,09/17/2024,"1 NYCRR § 221.5(c) - LABELS DO NOT CLEARLY STATE THE NET QUANTITY OF ITEMS IN CONTAINERS or PACAKGE IN TERMS OF WEIGHT, MEASURE OR COUNT",2.0,No,,Default Decision,2.0,,
918,29978-2024-ADJC,dcwp_InspectionRequest,BA-1559480-2022,VSM GOURMET LLC,Gourmet Garage of Hudson St.,Supermarket,A0188568,INS-000782886,24M03294,09/18/2024,NY Agri & Mkts § 190(5) - STORE DOES NOT HAVE A SCALE FOR CUSTOMERS,1.0,,,Default Decision,1.0,,
919,30066-2024-ADJC,dcwp_InspectionRequest,BA-1694300-2024,50 VAN CORTLANDT MEAT CORP.,,Supermarket,A0188644,INS-000782944,24X01439,09/18/2024,1 NYCRR § 221.13(b)(19) - FAILS TO POST SIGN STATING IDENTITY OF COMMODITY SOLD IN BULK AND PRICE PER POUND OR UNIT PRICE,1.0,,,Default Decision,1.0,,
926,30212-2024-ADJC,dcwp_InspectionRequest,BA-1709262-2024,VALEX INTERNATIONAL INC,,Supermarket,A0188442,INS-000783636,24Q02332,09/17/2024,"NY Agri & Mkts § 190(5) - NO """"FOR CUSTOMER USE"""" SIGN POSTED OR NOR NEAR CUSTOMER SCALE/S IN/NEAR PREPACKAGED FOOD AREA.",1.0,,,Default Decision,1.0,,
938,19372-2024-ADJC,dcwp_InspectionRequest,BA-1564310-2022,SUN HUI FOOD CORP.,,Supermarket,A0157876,INS-000723800,24Q00482,03/11/2024,"NY Agri & Mkts § 190(5) - NO """"FOR CUSTOMER USE"""" SIGN POSTED OR NOR NEAR CUSTOMER SCALE/S IN/NEAR PREPACKAGED FOOD AREA.",1.0,,,Pleaded,1.0,,
945,19137-2024-ADJC,dcwp_InspectionRequest,BA-1197795-2022,E & H SEAFOOD & MEAT MARKET INC,,Supermarket,A0157240,INS-000703774,24N00505,03/06/2024,"1 NYCRR § 221.5(c) - LABELS DO NOT CLEARLY STATE THE NET QUANTITY OF ITEMS IN CONTAINERS or PACAKGE IN TERMS OF WEIGHT, MEASURE OR COUNT",1.0,No,,Pleaded,1.0,,
947,18997-2024-ADJC,dcwp_InspectionRequest,BA-1168094-2022,CALHOUN FOODS LLC,,Supermarket,A0157024,INS-000718100,24Q00448,03/05/2024,"NY Agri & Mkts § 190(5) - NO """"FOR CUSTOMER USE"""" SIGN POSTED OR NOR NEAR CUSTOMER SCALE/S IN/NEAR PREPACKAGED FOOD AREA.",1.0,No,,Pleaded,1.0,,
949,18879-2024-ADJC,dcwp_InspectionRequest,BA-1088978-2022,A & C SEAFOOD & MEAT MARKET INC.,,Supermarket,A0156705,INS-000711429,24N00470,03/04/2024,"1 NYCRR § 221.5(c) - LABELS DO NOT CLEARLY STATE THE NET QUANTITY OF ITEMS IN CONTAINERS or PACAKGE IN TERMS OF WEIGHT, MEASURE OR COUNT",2.0,,,Pleaded,2.0,,
964,31245-2024-ADJC,dcwp_InspectionRequest,BA-1543103-2022,SYED AND BABUL INC,MANNAN SUPERMARKET,Supermarket,A0190021,INS-000786418,24Q02431,09/25/2024,"NY Agri & Mkts § 190(5) - NO """"FOR CUSTOMER USE"""" SIGN POSTED OR NOR NEAR CUSTOMER SCALE/S IN/NEAR PREPACKAGED FOOD AREA.",1.0,,,Default Decision,1.0,,
965,18816-2024-ADJC,dcwp_InspectionRequest,BA-1623792-2023,170 WESTSIDE MARKET LLC,WESTSIDE MARKET,Supermarket,A0156241,INS-000720720,24M00466,02/28/2024,"NY Agri & Mkts § 190(5) - NO """"FOR CUSTOMER USE"""" SIGN POSTED OR NOR NEAR CUSTOMER SCALE/S IN/NEAR PREPACKAGED FOOD AREA.",1.0,No,,Pleaded,1.0,,
975,18495-2024-ADJC,dcwp_InspectionRequest,BA-1676154-2023,1612 Fresh Market Inc.,,Supermarket,A0155281,INS-000716441,24X00169,02/22/2024,NY Agri & Mkts § 190(5) - STORE DOES NOT HAVE A SCALE FOR CUSTOMERS,1.0,No,,Pleaded,1.0,,
976,19908-2024-ADJC,dcwp_InspectionRequest,BA-1361082-2022,"LUNA BROTHERS, INC.",,Supermarket,A0155341,INS-000726731,24M00698,02/22/2024,NY Agri & Mkts § 190(5) - STORE DOES NOT HAVE A SCALE FOR CUSTOMERS,1.0,,,Pleaded,1.0,,
985,18304-2024-ADJC,dcwp_InspectionRequest,BA-1123049-2022,2400 C&F FOOD CORP.,,Supermarket,A0154616,INS-000717272,24X00162,02/15/2024,NY Agri & Mkts § 190(5) - STORE DOES NOT HAVE A SCALE FOR CUSTOMERS,1.0,,,Pleaded,1.0,,
988,18382-2024-ADJC,dcwp_InspectionRequest,BA-1023601-2022,A & C SUPERMAS INC,,Supermarket,A0154339,INS-000716789,24M00332,02/14/2024,1 NYCRR § 221.13(b)(18) - DELI ITEMS DO NOT HAVE PRICES DISPLAYED,1.0,,,Pleaded,1.0,,
989,32167-2024-ADJC,dcwp_InspectionRequest,BA-1300839-2022,"LOS ALAMOS MEAT & PRODUCE, INC.",,Supermarket,A0194654,INS-000795457,24M03894,10/18/2024,NY Agri & Mkts § 190(5) - STORE DOES NOT HAVE A SCALE FOR CUSTOMERS,1.0,No,,,,,
