Certificate of Inspection,Inspection Number,Date of Occurance,Year (added),Business Unique ID,UniqueBusinessID_NoYear,Business Name,DBA Trade Name,Business Category,Inspection type,Device Category,Device Class,Device Type,Devices Inspected,Devices Approved,Devices Condemned/Confiscated,Confiscated,Address Type,Building Number,Street Name,Street Name 2,Unit Type,Unit,City,State,Postcode,Borough,Community Board,Council District,BIN,BBL,NTA,Latitude,Longitude
A0136171,INS-000677331,09/20/2023,2023,BA-1543036-2022,BA-1543036,TRISHANA CORPORATION,TRISHANA CORP.,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,2,2,0,,Complete Address,12502,ROCKAWAY BLVD,,,,SOUTH OZONE PARK,NY,11420,Queens,410,28,4254712,4117470043,QN55,40.67534365,-73.81245798
A0215984,INS-000836640,03/13/2025,2025,BA-1543036-2022,BA-1543036,TRISHANA CORPORATION,TRISHANA CORP.,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,2,2,0,,Complete Address,12502,ROCKAWAY BLVD,,,,SOUTH OZONE PARK,NY,11420,Queens,410,28,4254712,4117470043,QN55,40.67534365,-73.81245798
A0201094,INS-000808120,11/27/2024,2024,BA-1525582-2022,BA-1525582,TRISHA ENTERPRISE INC,CHANNEL MARKET,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,1,1,0,,Complete Address,925,CROSS BAY BLVD,,,,BROAD CHANNEL,NY,11693,Queens,414,32,4315081,4153140017,QN10,40.60624117,-73.81956677
A0189014,INS-000784549,09/19/2024,2024,BA-1561360-2022,BA-1561360,TRIPLE D MEAT CORP,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,1,1,0,,Complete Address,10819,101ST AVE,,,,SOUTH RICHMOND HILL,NY,11419,Queens,409,29,4197910,4094100028,QN54,40.68737575,-73.83509726
A0138782,INS-000681760,10/11/2023,2023,BA-1596782-2023,BA-1596782,TRIPLE BROTHERS FOOD CORP.,GULLUOGLU,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,1,1,0,,Complete Address,239,BRIGHTON BEACH AVE,,,,BROOKLYN,NY,11235,Brooklyn,313,48,3244693,3086710939,BK19,40.57665705,-73.96589557
A0215186,INS-000835249,03/07/2025,2025,BA-1723300-2025,BA-1723300,TRINITY JUICES & MORE LLC,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,1,1,0,,Complete Address,22219,LINDEN BLVD,,,,CAMBRIA HEIGHTS,NY,11411,Queens,413,27,4244411,4113230001,QN33,40.69452731,-73.73815302
A0144452,INS-000692268,11/27/2023,2023,BA-1495188-2022,BA-1495188,"TRIBUZIO MEAT MARKET, INC.",,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,3,3,0,,Complete Address,7714,18TH AVE,,,,BROOKLYN,NY,11214,Brooklyn,311,43,3161448,3062480047,,40.61207822,-73.99732394
A0150739,INS-000704945,01/19/2024,2024,BA-1518883-2022,BA-1518883,TRIBORO BAGEL WHOLESALERS INC.,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,1,1,0,,Complete Address,257,AVENUE X,,,,BROOKLYN,NY,11223,Brooklyn,315,47,3194402,3071730046,,40.59021285,-73.97333093
A0154014,INS-000715856,02/09/2024,2024,BA-1520427-2022,BA-1520427,"TRIBECA VILLAGE FARM, INC.",MORGAN'S MARKET,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,3,3,0,,Complete Address,13,HUDSON ST,,,,NEW YORK,NY,10013,Manhattan,101,1,1001511,1001410001,MN24,40.71633553,-74.00919871
A0154014,INS-000715856,02/09/2024,2024,BA-1520427-2022,BA-1520427,"TRIBECA VILLAGE FARM, INC.",MORGAN'S MARKET,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Pre-pack Scale - 01,1,1,0,,Complete Address,13,HUDSON ST,,,,NEW YORK,NY,10013,Manhattan,101,1,1001511,1001410001,MN24,40.71633553,-74.00919871
