Certificate of Inspection,Inspection Number,Date of Occurance,Year (added),Business Unique ID,UniqueBusinessID_NoYear,Business Name,DBA Trade Name,Business Category,Inspection type,Device Category,Device Class,Device Type,Devices Inspected,Devices Approved,Devices Condemned/Confiscated,Confiscated,Address Type,Building Number,Street Name,Street Name 2,Unit Type,Unit,City,State,Postcode,Borough,Community Board,Council District,BIN,BBL,NTA,Latitude,Longitude
A0186403,INS-000779710,09/04/2024,2024,BA-1108610-2022,BA-1108610,ANTONICO FOODS CORP.,,Supermarket - 819,Scale,Scale,Scale Inspection,Computing Scale - 01,21,21,0,,Complete Address,99,ELLIS ST,,,,STATEN ISLAND,NY,10307,Staten Island,503,51,5088569,5079910100,SI11,40.51606448,-74.24358246
A0149330,INS-000700954,01/05/2024,2024,BA-1597715-2023,BA-1597715,ASTORIA FARM FOOD CORP.,,Supermarket - 819,Scale,Scale,Scale Inspection,Computing Scale - 01,9,9,0,,Complete Address,3715,31ST AVE,,,,ASTORIA,NY,11103,Queens,401,22,4010550,4006590003,QN70,40.76198522,-73.91847969
A0149330,INS-000700954,01/05/2024,2024,BA-1597715-2023,BA-1597715,ASTORIA FARM FOOD CORP.,,Supermarket - 819,Scale,Scale,Scale Inspection,Pre-pack Scale - 01,3,3,0,,Complete Address,3715,31ST AVE,,,,ASTORIA,NY,11103,Queens,401,22,4010550,4006590003,QN70,40.76198522,-73.91847969
A0175240,INS-000756405,06/25/2024,2024,BA-1664665-2023,BA-1664665,AURORA 65 FOOD CORP.,,Supermarket - 819,Scale,Scale,Scale Inspection,Computing Scale - 01,5,5,0,,Complete Address,3907,65TH PL,,,,WOODSIDE,NY,11377,Queens,402,26,4030207,4012980027,QN63,40.74570163,-73.89895366
A0175240,INS-000756405,06/25/2024,2024,BA-1664665-2023,BA-1664665,AURORA 65 FOOD CORP.,,Supermarket - 819,Scale,Scale,Scale Inspection,Pre-pack Scale - 01,1,1,0,,Complete Address,3907,65TH PL,,,,WOODSIDE,NY,11377,Queens,402,26,4030207,4012980027,QN63,40.74570163,-73.89895366
A0130749,INS-000658303,08/09/2023,2023,BA-1664665-2023,BA-1664665,AURORA 65 FOOD CORP.,,Supermarket - 819,Scale,Scale,Scale Inspection,Computing Scale - 01,6,6,0,,Complete Address,3907,65TH PL,,,,WOODSIDE,NY,11377,Queens,402,26,4030207,4012980027,QN63,40.74570163,-73.89895366
A0175784,INS-000757510,06/28/2024,2024,BA-1115166-2022,BA-1115166,AV FOOD CORP,,Supermarket - 819,Scale,Scale,Scale Inspection,Computing Scale - 01,5,5,0,,Complete Address,630,E 169TH ST,,,,BRONX,NY,10456,Bronx,203,17,2004305,2026150031,BX35,40.83116333,-73.90089444
A0175784,INS-000757510,06/28/2024,2024,BA-1115166-2022,BA-1115166,AV FOOD CORP,,Supermarket - 819,Scale,Scale,Scale Inspection,Customer Scale - 01,1,1,0,,Complete Address,630,E 169TH ST,,,,BRONX,NY,10456,Bronx,203,17,2004305,2026150031,BX35,40.83116333,-73.90089444
A0178314,INS-000762630,07/16/2024,2024,BA-998616-2022,BA-998616-,B & F MARKET INC.,,Supermarket - 819,Scale,Scale,Scale Inspection,Computing Scale - 01,11,11,0,,Complete Address,1215,SUTTER AVENUE,,,,BROOKLYN,NY,11208,Brooklyn,305,42,3095362,3042480001,BK82,40.67261035,-73.87307614
A0175021,INS-000756004,06/25/2024,2024,BA-1699989-2024,BA-1699989,BAAM SUPERMARKET 13 AVENUE LLC,,Supermarket - 819,Scale,Scale,Scale Inspection,Computing Scale - 01,12,12,0,,Complete Address,1274,39TH ST,,,,BROOKLYN,NY,11218,Brooklyn,312,39,3123080,3052930029,BK88,40.64104603,-73.98700662
