NAME,B19013_001E,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_007E,B02001_008E,state,county,tract
Census Tract 217; Bronx County; New York,41416,220,1683,29,183,9,2290,686,36,Bronx,021700
Census Tract 218; Bronx County; New York,58807,363,1006,0,276,0,3118,1278,36,Bronx,021800
Census Tract 219; Bronx County; New York,48623,71,275,14,26,0,531,105,36,Bronx,021900
Census Tract 220; Bronx County; New York,23468,193,535,9,93,0,690,381,36,Bronx,022000
Census Tract 221.01; Bronx County; New York,58186,423,939,110,86,0,1664,521,36,Bronx,022101
Census Tract 221.02; Bronx County; New York,37022,644,893,105,0,0,2829,1425,36,Bronx,022102
Census Tract 222; Bronx County; New York,56029,180,226,88,1174,0,1087,548,36,Bronx,022200
Census Tract 223; Bronx County; New York,45007,978,947,167,52,0,2236,827,36,Bronx,022300
Census Tract 224.01; Bronx County; New York,67824,462,599,27,244,0,972,224,36,Bronx,022401
Census Tract 224.03; Bronx County; New York,91225,354,729,14,97,0,1398,196,36,Bronx,022403
Census Tract 224.04; Bronx County; New York,59482,839,1171,86,244,0,1835,291,36,Bronx,022404
Census Tract 225; Bronx County; New York,53191,1035,2483,310,73,0,3553,1954,36,Bronx,022500
Census Tract 227.01; Bronx County; New York,37134,108,2714,0,48,117,1165,843,36,Bronx,022701
Census Tract 227.02; Bronx County; New York,27446,30,416,0,22,0,649,160,36,Bronx,022702
Census Tract 227.03; Bronx County; New York,66146,554,552,0,44,0,363,215,36,Bronx,022703
Census Tract 228; Bronx County; New York,87961,1068,930,27,865,0,2441,292,36,Bronx,022800
Census Tract 229.01; Bronx County; New York,52763,523,2729,0,43,0,1554,692,36,Bronx,022901
Census Tract 229.02; Bronx County; New York,35313,213,787,0,61,0,1282,896,36,Bronx,022902
Census Tract 230; Bronx County; New York,55460,812,367,0,210,0,954,212,36,Bronx,023000
Census Tract 231; Bronx County; New York,59388,72,998,0,27,1,400,72,36,Bronx,023100
Census Tract 232; Bronx County; New York,45125,816,279,55,227,0,725,360,36,Bronx,023200
Census Tract 233.01; Bronx County; New York,42778,126,1386,0,50,0,1605,575,36,Bronx,023301
Census Tract 233.02; Bronx County; New York,65156,250,1064,10,49,0,1524,768,36,Bronx,023302
Census Tract 235.01; Bronx County; New York,37194,23,750,213,11,0,1896,429,36,Bronx,023501
Census Tract 235.02; Bronx County; New York,47484,210,1406,0,84,0,1694,890,36,Bronx,023502
Census Tract 236; Bronx County; New York,54583,332,231,52,76,0,796,115,36,Bronx,023600
Census Tract 237.02; Bronx County; New York,44583,62,419,0,0,0,562,76,36,Bronx,023702
Census Tract 237.03; Bronx County; New York,27763,871,1628,0,51,0,1849,682,36,Bronx,023703
Census Tract 237.04; Bronx County; New York,32984,925,787,81,0,0,1135,731,36,Bronx,023704
Census Tract 238; Bronx County; New York,67750,591,253,0,187,10,1073,280,36,Bronx,023800
Census Tract 239; Bronx County; New York,51172,436,2567,52,0,0,4755,1574,36,Bronx,023900
Census Tract 240; Bronx County; New York,72608,957,1267,0,69,0,1477,377,36,Bronx,024000
Census Tract 241; Bronx County; New York,29527,996,1738,0,137,0,2045,1368,36,Bronx,024100
Census Tract 243; Bronx County; New York,24293,508,1524,18,9,47,1064,1231,36,Bronx,024300
Census Tract 244; Bronx County; New York,78854,629,145,27,206,0,846,315,36,Bronx,024400
Census Tract 245.01; Bronx County; New York,49904,556,1761,0,0,95,1706,925,36,Bronx,024501
Census Tract 245.02; Bronx County; New York,37448,623,1236,32,0,0,1835,249,36,Bronx,024502
Census Tract 246; Bronx County; New York,95703,641,92,0,470,0,639,275,36,Bronx,024600
Census Tract 247; Bronx County; New York,47283,112,938,0,139,0,273,310,36,Bronx,024700
Census Tract 248; Bronx County; New York,78839,1388,491,0,502,0,690,457,36,Bronx,024800
Census Tract 249; Bronx County; New York,-666666666,0,0,0,0,0,0,0,36,Bronx,024900
Census Tract 250; Bronx County; New York,109667,1417,233,38,580,0,297,190,36,Bronx,025000
Census Tract 251; Bronx County; New York,50410,542,1659,0,304,0,2265,1772,36,Bronx,025100
Census Tract 252; Bronx County; New York,80583,1173,166,0,230,0,678,339,36,Bronx,025200
Census Tract 253; Bronx County; New York,43421,160,1422,78,138,36,2227,1528,36,Bronx,025300
Census Tract 254; Bronx County; New York,66053,1033,27,0,167,0,642,98,36,Bronx,025400
Census Tract 255; Bronx County; New York,55042,303,1348,206,66,41,3582,1019,36,Bronx,025500
Census Tract 256; Bronx County; New York,58924,641,289,0,138,0,517,79,36,Bronx,025600
Census Tract 257; Bronx County; New York,55962,93,585,46,0,0,718,245,36,Bronx,025700
Census Tract 261; Bronx County; New York,60357,137,1151,0,95,0,235,491,36,Bronx,026100
Census Tract 263; Bronx County; New York,44709,840,885,51,32,10,3494,1455,36,Bronx,026300
Census Tract 264; Bronx County; New York,58307,2908,458,227,260,0,1117,765,36,Bronx,026400
Census Tract 265; Bronx County; New York,60495,971,610,176,564,0,4491,980,36,Bronx,026500
Census Tract 266.01; Bronx County; New York,47266,1214,124,84,49,0,902,491,36,Bronx,026601
Census Tract 266.02; Bronx County; New York,51442,1953,611,35,511,0,1518,491,36,Bronx,026602
Census Tract 267.01; Bronx County; New York,44750,378,650,0,243,0,1987,501,36,Bronx,026701
Census Tract 267.02; Bronx County; New York,61494,799,1444,111,0,0,3954,1394,36,Bronx,026702
Census Tract 269; Bronx County; New York,29140,1139,981,58,85,0,1460,462,36,Bronx,026900
Census Tract 273; Bronx County; New York,54096,1480,1731,0,6,86,2431,1386,36,Bronx,027300
Census Tract 274.01; Bronx County; New York,104811,3279,338,100,214,0,525,655,36,Bronx,027401
Census Tract 274.02; Bronx County; New York,101667,2191,93,1,144,0,390,668,36,Bronx,027402
Census Tract 276; Bronx County; New York,-666666666,15,42,0,0,0,0,0,36,Bronx,027600
Census Tract 277; Bronx County; New York,54482,925,438,92,16,0,2105,612,36,Bronx,027700
Census Tract 279; Bronx County; New York,65000,1902,1596,226,123,0,2308,1957,36,Bronx,027900
Census Tract 281; Bronx County; New York,79886,1259,783,0,188,0,407,875,36,Bronx,028100
Census Tract 283; Bronx County; New York,14194,687,663,0,1,0,984,151,36,Bronx,028300
Census Tract 284; Bronx County; New York,-666666666,134,230,5,21,0,90,0,36,Bronx,028400
Census Tract 285; Bronx County; New York,74965,1387,389,50,213,33,563,674,36,Bronx,028500
Census Tract 286; Bronx County; New York,72857,513,54,0,251,0,138,58,36,Bronx,028600
Census Tract 287; Bronx County; New York,64127,1282,176,35,226,0,1238,485,36,Bronx,028700
Census Tract 288; Bronx County; New York,97424,1710,154,29,529,0,138,118,36,Bronx,028800
Census Tract 289; Bronx County; New York,55977,1014,502,160,209,0,1869,646,36,Bronx,028900
Census Tract 293.01; Bronx County; New York,119643,1143,213,11,113,0,107,260,36,Bronx,029301
Census Tract 293.02; Bronx County; New York,132405,3410,663,42,364,0,457,486,36,Bronx,029302
Census Tract 295; Bronx County; New York,100600,2276,259,0,520,0,642,942,36,Bronx,029500
Census Tract 296; Bronx County; New York,56747,1044,402,0,236,0,378,281,36,Bronx,029600
Census Tract 297; Bronx County; New York,90714,2610,593,27,221,0,413,307,36,Bronx,029700
Census Tract 300; Bronx County; New York,84279,3479,503,88,802,0,1401,538,36,Bronx,030000
Census Tract 301; Bronx County; New York,86672,849,172,21,46,0,262,220,36,Bronx,030100
Census Tract 302.01; Bronx County; New York,75000,251,2295,36,0,0,590,512,36,Bronx,030201
Census Tract 302.02; Bronx County; New York,78435,170,5126,98,1,0,357,400,36,Bronx,030202
Census Tract 307.01; Bronx County; New York,121764,3568,271,35,288,0,354,976,36,Bronx,030701
Census Tract 309; Bronx County; New York,122500,2917,216,0,107,0,330,137,36,Bronx,030900
Census Tract 310; Bronx County; New York,142671,1669,695,0,793,0,860,392,36,Bronx,031000
Census Tract 312; Bronx County; New York,124474,444,258,0,285,0,592,70,36,Bronx,031200
Census Tract 314; Bronx County; New York,111917,851,558,0,189,0,385,203,36,Bronx,031400
