Certificate of Inspection,Inspection Number,Date of Occurance,Year (added),Business Unique ID,Business Name,DBA Trade Name,Business Category,Inspection type,Device Category,Device Class,Device Type,Devices Inspected,Devices Approved,Devices Condemned/Confiscated,Confiscated,Address Type,Building Number,Street Name,Street Name 2,Unit Type,Unit,City,State,Postcode,Borough,Community Board,Council District,BIN,BBL,NTA,Latitude,Longitude
A0215481,INS-000835791,03/11/2025,2025,BA-1228543-2022,Develop Gas Corp,,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Octane Sample,2,0,1,Confiscated,Complete Address,6520,COOPER AVE,,,,GLENDALE,NY,11385,Queens,405,30,4090928,4037220009,QN19,40.69870724,-73.88856998
A0214813,INS-000834565,03/06/2025,2025,BA-1547535-2022,WILLIAMSBURG SERVICE CENTER INC.,,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Octane Sample,2,0,1,Confiscated,Complete Address,713,KENT AVE,,,,BROOKLYN,NY,11249,Brooklyn,301,33,3060705,3022160006,BK72,40.69984718,-73.96156973
A0213409,INS-000832246,02/26/2025,2025,BA-1683551-2024,"DREAM FRAME SERVICE, LLC",,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Octane Sample,2,0,1,Confiscated,Complete Address,24302,S CONDUIT AVE,,,,ROSEDALE,NY,11422,Queens,413,31,4289117,4135990025,QN05,40.66526744,-73.73555362
A0214102,INS-000833295,02/28/2025,2025,BA-1708496-2024,Markella Corp.,Euro Market,Supermarket - 819,Scale,Scale,Scale Inspection,Pre-pack Scale - 01,3,1,1,Confiscated,Complete Address,3042,31ST ST,,,,ASTORIA,NY,11102,Queens,401,22,4007661,4005930043,QN70,40.76592374,-73.92218597
A0214351,INS-000833761,03/04/2025,2025,BA-1532701-2022,SPEEDWAY LLC,SPEEDWAY #07809,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Octane Sample,2,0,1,Confiscated,Complete Address,951,BAY ST,,,,STATEN ISLAND,NY,10305,Staten Island,501,49,5042103,5028220001,SI37,40.61929771,-74.06998865
A0213979,INS-000833101,02/28/2025,2025,BA-1337104-2022,"KHIZER II AUTO REPAIR, INC.",SHELL,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Octane Sample,2,0,1,Confiscated,Complete Address,548,CONEY ISLAND AVE,,,,BROOKLYN,NY,11218,Brooklyn,312,40,3124814,3053430019,BK41,40.6440951,-73.97019963
A0216102,INS-000836839,03/13/2025,2025,BA-1466942-2022,MASTER OIL CORP,BP,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Octane Sample,2,0,1,Confiscated,Complete Address,802,65TH ST,,,,BROOKLYN,NY,11220,Brooklyn,310,38,3142129,3057490006,BK34,40.63240828,-74.01217746
A0214884,INS-000834680,03/06/2025,2025,BA-1122576-2022,"BISMA SERVICE CENTER, INC",MOBIL,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Octane Sample,2,0,1,Confiscated,Complete Address,718,11TH AVE,,,,NEW YORK,NY,10019,Manhattan,104,3,1027046,1010790061,MN15,40.7664055,-73.99423114
A0200566,INS-000809105,11/22/2024,2024,BA-1726866-2025,Good fortune supermarket,,Supermarket - 819,Scale,Scale,Scale Inspection,Computing Scale - 01,16,15,1,Confiscated,Complete Address,4276,MAIN ST,,,,FLUSHING,NY,11355,Queens,407,20,4622994,4051247501,QN22,40.75313707,-73.82728268
A0217839,INS-000840529,03/25/2025,2025,BA-1409715-2022,NOR-PIKE SERVICE STATION INC,Nor-Pike Service Station,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Octane Sample,2,0,1,Confiscated,Complete Address,14615,UNION TURNPIKE,,,,FLUSHING,NY,11367,Queens,408,24,4144382,4066720080,QN37,40.71802224,-73.81592007
